feature,feature_type,bin,bin_description,count,bad,good,dist_good,dist_bad,woe,iv_component,bad_rate,total_iv
annual_inc,continuous,0,"[-inf, 34000)",61081,14016,47065,0.09770941178790858,0.11982833425236061,-0.204062282714792,0.004513637809287574,0.22946579132627168,0.03181249094118856
annual_inc,continuous,1,"[34000, 42000)",63406,14265,49141,0.10201925103048962,0.1219570579158171,-0.17850746740667778,0.003559047412743231,0.22497870863956093,0.03181249094118856
annual_inc,continuous,2,"[42000, 50000)",71723,15499,56224,0.11672377480467148,0.13250663623190265,-0.12682248456527187,0.0020016216997508487,0.21609525535741672,0.03181249094118856
annual_inc,continuous,3,"[50000, 56000)",45000,9546,35454,0.07360462207422432,0.08161389740235869,-0.10329173508762904,0.0008272919454375392,0.21213333333333334,0.03181249094118856
annual_inc,continuous,4,"[56000, 65000)",73454,15135,58319,0.12107305862606228,0.12939476710138795,-0.0664737878512717,0.0005531754837489279,0.2060473221335802,0.03181249094118856
annual_inc,continuous,5,"[65000, 73000)",45861,8956,36905,0.07661694227701098,0.07656993370179915,0.0006137415674424327,2.8851116633740213e-08,0.19528575478075053,0.03181249094118856
annual_inc,continuous,6,"[73000, 84000)",58755,11022,47733,0.09909620013764082,0.09423235574477544,0.05032749503303141,0.00024478510452337034,0.18759254531529232,0.03181249094118856
annual_inc,continuous,7,"[84000, 100000)",70184,12218,57966,0.12034021987238641,0.10445706860218087,0.14154673666462145,0.0022482082302481307,0.17408526159808504,0.03181249094118856
annual_inc,continuous,8,"[100000, 125000)",51915,8151,43764,0.09085643522733053,0.06968791543239165,0.2652537028776987,0.0056150282600474005,0.1570066454781855,0.03181249094118856
annual_inc,continuous,9,"[125000, inf)",57268,8157,49111,0.10195697011657949,0.06973920997849904,0.37978814958735996,0.01223592350669098,0.14243556611021863,0.03181249094118856
annual_inc,continuous,__MISSING__,__MISSING__,2,1,1,3.114045695506536e-06,1.2823636526846283e-05,-1.4153673241894646,1.3742637593927896e-05,0.5,0.03181249094118856
dti,continuous,0,"[-inf, 7.72)",59877,8223,51654,0.10723631558569491,0.07030344998568028,0.42221408326083754,0.0155935759915059,0.1373315296357533,0.0784219909235726
dti,continuous,1,"[7.72, 10.91)",59949,8907,51042,0.10596578494192824,0.07615102824192217,0.330397676340899,0.009850726334351254,0.14857628984636942,0.0784219909235726
dti,continuous,2,"[10.91, 13.43)",59817,9405,50412,0.1046578857498155,0.08040847556883514,0.2635772114590837,0.006391591915030316,0.15722955012789006,0.0784219909235726
dti,continuous,3,"[13.43, 15.75)",60090,10226,49864,0.10352022105572377,0.08742727929452901,0.16895961210491386,0.002719057197598436,0.17017806623398235,0.0784219909235726
dti,continuous,4,"[15.75, 18.04)",59779,10897,48882,0.10148155914039883,0.09316371936753824,0.08551872989841779,0.0007113310928735814,0.1822880944813396,0.0784219909235726
dti,continuous,5,"[18.04, 20.42)",59888,11552,48336,0.10034804650723445,0.09876337398426112,0.015917780895934378,2.522447001249695e-05,0.19289340101522842,0.0784219909235726
dti,continuous,6,"[20.42, 23.07)",59702,12462,47240,0.09807271711905101,0.10654304681054787,-0.08283988395363748,0.0007016811286926496,0.20873672573783122,0.0784219909235726
dti,continuous,7,"[23.07, 26.18)",59940,13487,46453,0.09643888114414191,0.11530586510389283,-0.17867884251399055,0.0033711308556583206,0.22500834167500836,0.0784219909235726
dti,continuous,8,"[26.18, 30.22)",59805,14522,45283,0.09400992550164682,0.12415417430741676,-0.2781237673465449,0.008383832041692326,0.24282250647939135,0.0784219909235726
dti,continuous,9,"[30.22, inf)",59800,17284,42516,0.0882655492086691,0.14776676369884972,-0.5152852344488392,0.030660097258563394,0.28903010033444815,0.0784219909235726
dti,continuous,__MISSING__,__MISSING__,2,1,1,3.114045695506536e-06,1.2823636526846283e-05,-1.4153673241894646,1.3742637593927896e-05,0.5,0.0784219909235726
loan_amnt,continuous,0,"[-inf, 5000)",70983,10512,60471,0.12554119743858297,0.08987385600519794,0.3342268839190415,0.011920984384956796,0.1480917966273615,0.039865979424102575
loan_amnt,continuous,1,"[5000, 7000)",51884,7696,44188,0.09173705304176057,0.0657992040660172,0.3323186237191092,0.00861963027385314,0.14833089198982347,0.039865979424102575
loan_amnt,continuous,2,"[7000, 9200)",56918,9146,47772,0.0991775771170668,0.07819559799776865,0.23769859723604456,0.004987387003893148,0.1606873045433782,0.039865979424102575
loan_amnt,continuous,3,"[9200, 10500)",60292,11106,49186,0.10211309638115247,0.09495210289861887,0.07270840263880048,0.000520664397421879,0.18420354275857492,0.039865979424102575
loan_amnt,continuous,4,"[10500, 15000)",128172,26984,101188,0.21007128080193238,0.2306968910698943,-0.09365778350214321,0.0019317489410763595,0.21052960084885936,0.039865979424102575
loan_amnt,continuous,5,"[15000, 28000)",180094,40031,140063,0.29077730017345305,0.3422387887440743,-0.16295102344118642,0.008385702230389654,0.22227836574233456,0.039865979424102575
