feature,iv,decision,reason
term,0.27106043826872395,keep,passed IV and correlation filters
loan_to_income,0.12945308934349417,keep,passed IV and correlation filters
fico_n,0.11305052227949877,keep,passed IV and correlation filters
acc_open_past_24mths,0.08674742535240942,keep,passed IV and correlation filters
dti,0.0784219909235726,keep,passed IV and correlation filters
bc_open_to_buy,0.057712531617155075,keep,passed IV and correlation filters
avg_cur_bal,0.0455192816437252,keep,passed IV and correlation filters
loan_amnt,0.039865979424102575,keep,passed IV and correlation filters
mths_since_recent_inq,0.037971584112456644,keep,passed IV and correlation filters
percent_bc_gt_75,0.03340420367867926,keep,passed IV and correlation filters
annual_inc,0.03181249094118856,keep,passed IV and correlation filters
inq_last_6mths,0.03164182710912661,keep,passed IV and correlation filters
num_actv_rev_tl,0.030702581054029104,keep,passed IV and correlation filters
mort_acc,0.02973156735598819,keep,passed IV and correlation filters
home_ownership,0.024957309932448254,keep,passed IV and correlation filters
total_bc_limit,0.04068750842959429,drop,|correlation| > 0.70 with bc_open_to_buy
bc_util,0.027901254978108237,drop,|correlation| > 0.70 with percent_bc_gt_75
revol_util,0.020038481916009765,drop,outside top 15 after redundancy pruning
purpose,0.016018418620245046,drop,IV below threshold
credit_history_months,0.01338219892654302,drop,IV below threshold
open_acc,0.008298407849737528,drop,IV below threshold
emp_length,0.007008161822544811,drop,IV below threshold
revol_bal,0.004354440429884594,drop,IV below threshold
pub_rec,0.004315378604913705,drop,IV below threshold
pub_rec_bankruptcies,0.003636235670318426,drop,IV below threshold
mths_since_last_major_derog,0.0034563773609971723,drop,IV below threshold
total_bal_ex_mort,0.0029039667540767256,drop,IV below threshold
num_accts_ever_120_pd,0.002867560532005602,drop,IV below threshold
delinq_2yrs,0.0013666432030054096,drop,IV below threshold
collections_12_mths_ex_med,0.0009452365613155493,drop,IV below threshold
num_tl_90g_dpd_24m,0.0008416920129823669,drop,IV below threshold
pct_tl_nvr_dlq,0.000722466061209239,drop,IV below threshold
total_acc,0.000277207110015534,drop,IV below threshold
application_type,6.762154097422994e-05,drop,IV below threshold
