feature,feature_type,bin_description,count,bad,bad_rate,woe,total_iv,coefficient,bin_points
annual_inc,continuous,"[-inf, 34000)",61081,14016,0.22946579132627168,-0.204062282714792,0.03181249094118856,-0.12207520802716777,-1.7969448849797773
annual_inc,continuous,"[34000, 42000)",63406,14265,0.22497870863956093,-0.17850746740667778,0.03181249094118856,-0.12207520802716777,-1.5719126348079033
annual_inc,continuous,"[42000, 50000)",71723,15499,0.21609525535741672,-0.12682248456527187,0.03181249094118856,-0.12207520802716777,-1.1167816605212983
annual_inc,continuous,"[50000, 56000)",45000,9546,0.21213333333333334,-0.10329173508762904,0.03181249094118856,-0.12207520802716777,-0.909573060523971
annual_inc,continuous,"[56000, 65000)",73454,15135,0.2060473221335802,-0.0664737878512717,0.03181249094118856,-0.12207520802716777,-0.5853591926712036
annual_inc,continuous,"[65000, 73000)",45861,8956,0.19528575478075053,0.0006137415674424327,0.03181249094118856,-0.12207520802716777,0.005404525302976074
annual_inc,continuous,"[73000, 84000)",58755,11022,0.18759254531529232,0.05032749503303141,0.03181249094118856,-0.12207520802716777,0.44317712009449883
annual_inc,continuous,"[84000, 100000)",70184,12218,0.17408526159808504,0.14154673666462145,0.03181249094118856,-0.12207520802716777,1.2464414346994543
annual_inc,continuous,"[100000, 125000)",51915,8151,0.1570066454781855,0.2652537028776987,0.03181249094118856,-0.12207520802716777,2.335788261636825
annual_inc,continuous,"[125000, inf)",57268,8157,0.14243556611021863,0.37978814958735996,0.03181249094118856,-0.12207520802716777,3.3443631213847596
annual_inc,continuous,__MISSING__,2,1,0.5,-1.4153673241894646,0.03181249094118856,-0.12207520802716777,-12.463533386639961
dti,continuous,"[-inf, 7.72)",59877,8223,0.1373315296357533,0.42221408326083754,0.0784219909235726,-0.4367359047288435,13.301363318914493
dti,continuous,"[7.72, 10.91)",59949,8907,0.14857628984636942,0.330397676340899,0.0784219909235726,-0.4367359047288435,10.408794275155461
dti,continuous,"[10.91, 13.43)",59817,9405,0.15722955012789006,0.2635772114590837,0.0784219909235726,-0.4367359047288435,8.303693294943242
dti,continuous,"[13.43, 15.75)",60090,10226,0.17017806623398235,0.16895961210491386,0.0784219909235726,-0.4367359047288435,5.3228759435812485
dti,continuous,"[15.75, 18.04)",59779,10897,0.1822880944813396,0.08551872989841779,0.0784219909235726,-0.4367359047288435,2.6941680584544367
dti,continuous,"[18.04, 20.42)",59888,11552,0.19289340101522842,0.015917780895934378,0.0784219909235726,-0.4367359047288435,0.5014711619576577
dti,continuous,"[20.42, 23.07)",59702,12462,0.20873672573783122,-0.08283988395363748,0.0784219909235726,-0.4367359047288435,-2.609774134614358
dti,continuous,"[23.07, 26.18)",59940,13487,0.22500834167500836,-0.17867884251399055,0.0784219909235726,-0.4367359047288435,-5.6290689863450645
dti,continuous,"[26.18, 30.22)",59805,14522,0.24282250647939135,-0.2781237673465449,0.0784219909235726,-0.4367359047288435,-8.761965608845387
dti,continuous,"[30.22, inf)",59800,17284,0.28903010033444815,-0.5152852344488392,0.0784219909235726,-0.4367359047288435,-16.233461620563112
dti,continuous,__MISSING__,2,1,0.5,-1.4153673241894646,0.0784219909235726,-0.4367359047288435,-44.58950033917577
loan_amnt,continuous,"[-inf, 5000)",70983,10512,0.1480917966273615,0.3342268839190415,0.039865979424102575,0.1905591831743534,-4.594262501585253
loan_amnt,continuous,"[5000, 7000)",51884,7696,0.14833089198982347,0.3323186237191092,0.039865979424102575,0.1905591831743534,-4.568031672463978
loan_amnt,continuous,"[7000, 9200)",56918,9146,0.1606873045433782,0.23769859723604456,0.039865979424102575,0.1905591831743534,-3.2673905197449606
loan_amnt,continuous,"[9200, 10500)",60292,11106,0.18420354275857492,0.07270840263880048,0.039865979424102575,0.1905591831743534,-0.9994452985850082
loan_amnt,continuous,"[10500, 15000)",128172,26984,0.21052960084885936,-0.09365778350214321,0.039865979424102575,0.1905591831743534,1.2874142189881819
loan_amnt,continuous,"[15000, 28000)",180094,40031,0.22227836574233456,-0.16295102344118642,0.039865979424102575,0.1905591831743534,2.239914897965307
loan_amnt,continuous,"[28000, inf)",50306,11491,0.2284220570110921,-0.19816825069836957,0.039865979424102575,0.1905591831743534,2.7240087706672833
fico_n,continuous,"[-inf, 662)",60473,15356,0.25393150662279035,-0.33763920004613696,0.11305052227949877,-0.6050155399949538,-14.735468070024947
fico_n,continuous,"[662, 672)",114424,27377,0.23925924631196252,-0.2586381222212585,0.11305052227949877,-0.6050155399949538,-11.287652000010029
fico_n,continuous,"[672, 677)",49556,11348,0.22899346194204537,-0.2013981333825571,0.11305052227949877,-0.6050155399949538,-8.789547432335382
fico_n,continuous,"[677, 682)",47809,10724,0.22430923047961682,-0.17467534677130803,0.11305052227949877,-0.6050155399949538,-7.623294317180674
fico_n,continuous,"[682, 687)",41208,8598,0.2086488060570763,-0.08232400776674857,0.11305052227949877,-0.6050155399949538,-3.5928375250197453
fico_n,continuous,"[687, 697)",74815,14637,0.19564258504310633,-0.0016421439852409739,0.11305052227949877,-0.6050155399949538,-0.07166750856415774
fico_n,continuous,"[697, 702)",31469,5669,0.1801455400552925,0.09992238042664972,0.11305052227949877,-0.6050155399949538,4.360877072498054
fico_n,continuous,"[702, 717)",74236,11831,0.15937011692440325,0.24751738555552333,0.11305052227949877,-0.6050155399949538,10.802313626886576
fico_n,continuous,"[717, 737)",53284,6912,0.12971999099166728,0.4880046835419044,0.11305052227949877,-0.6050155399949538,21.297815630921246
fico_n,continuous,"[737, inf)",51375,4514,0.08786374695863747,0.9245314433168748,0.11305052227949877,-0.6050155399949538,40.34899846009677
loan_to_income,continuous,"[-inf, 0.08)",60166,7174,0.11923677824685038,0.5842499971089661,0.12945308934349417,-0.5939346754827987,25.03121574796118
loan_to_income,continuous,"[0.08, 0.115556)",59588,8117,0.1362187017520306,0.43163870724588804,0.12945308934349417,-0.5939346754827987,18.492839811221746
loan_to_income,continuous,"[0.115556, 0.145819)",59840,8747,0.146173128342246,0.3495220181041252,0.12945308934349417,-0.5939346754827987,14.974687354932787
loan_to_income,continuous,"[0.145819, 0.175)",60558,9667,0.15963208824597905,0.2455588468165386,0.12945308934349417,-0.5939346754827987,10.520558842790964
loan_to_income,continuous,"[0.175, 0.204082)",59344,10455,0.17617619304394716,0.12706716956378125,0.12945308934349417,-0.5939346754827987,5.443980747235785
loan_to_income,continuous,"[0.204082, 0.238144)",59693,11418,0.19127870939641164,0.026322014309776678,0.12945308934349417,-0.5939346754827987,1.1277227597248203
loan_to_income,continuous,"[0.238144, 0.275862)",60156,12721,0.2114668528492586,-0.09928990614794521,0.12945308934349417,-0.5939346754827987,-4.25391026903249
loan_to_income,continuous,"[0.275862, 0.32)",61385,15076,0.2455974586625397,-0.29315744071000316,0.12945308934349417,-0.5939346754827987,-12.559841134519733
loan_to_income,continuous,"[0.32, 0.378378)",58127,15981,0.27493247544170524,-0.44564748322980574,0.12945308934349417,-0.5939346754827987,-19.093022431253324
loan_to_income,continuous,"[0.378378, inf)",59790,17609,0.29451413279812677,-0.5418241170399583,0.12945308934349417,-0.5939346754827987,-23.213549744436328
loan_to_income,continuous,__MISSING__,2,1,0.5,-1.4153673241894646,0.12945308934349417,-0.5939346754827987,-60.63905011503732
inq_last_6mths,continuous,"[-inf, 0)",344646,59879,0.17374059179563958,0.1439488680518117,0.03164182710912661,-0.39830738136593896,4.13591069056867
inq_last_6mths,continuous,"[0, 1)",162891,34257,0.21030627843158922,-0.0923204496193799,0.03164182710912661,-0.39830738136593896,-2.652533081409625
